timestamp,heart_rate_bpm,breathing_rate_bpm,sbp_mmhg,dbp_mmhg,hrv_rmssd_ms,cardiac_load_rpp,sqi
2026-06-11 15:06:01,71.2,,127.1,76.6,,9.0,0.336
2026-06-11 15:06:06,71.7,,127.8,76.6,,9.2,0.453
2026-06-11 15:06:11,71.9,6.5,128.4,76.4,61.9,9.2,0.572
2026-06-11 15:06:17,72.4,5.4,129.7,76.0,66.3,9.4,0.673
2026-06-11 15:06:22,72.8,8.0,129.4,76.4,67.4,9.4,0.66
2026-06-11 15:06:27,73.4,6.4,128.5,77.2,54.4,9.4,0.57
2026-06-11 15:06:32,73.9,6.9,129.6,76.9,55.4,9.6,0.555
2026-06-11 15:06:37,76.6,,131.4,77.5,,10.1,0.489
2026-06-11 15:06:42,80.2,,133.1,78.6,,10.7,0.402
2026-06-11 15:06:47,80.1,,133.3,78.5,,10.7,0.448
2026-06-11 15:06:52,81.2,8.4,134.1,78.7,70.2,10.9,0.58
2026-06-11 15:06:57,81.4,8.4,134.5,78.6,74.4,11.0,0.639
2026-06-11 15:07:02,81.8,8.4,134.6,78.8,84.8,11.0,0.562
2026-06-11 15:07:07,81.7,18.8,134.8,78.6,76.4,11.0,0.566
2026-06-11 15:07:12,82.8,,135.2,79.0,,11.2,0.498
2026-06-11 15:07:18,80.7,,134.2,78.4,,10.8,0.422
2026-06-11 15:07:23,87.0,,137.3,80.4,,11.9,0.372
2026-06-11 15:07:28,88.0,,137.4,80.8,,12.1,0.345
2026-06-11 15:07:33,83.4,,135.1,79.5,,11.3,0.343
2026-06-11 15:07:38,78.0,,132.4,77.8,,10.3,0.398
2026-06-11 15:07:43,79.6,,133.3,78.2,,10.6,0.471
2026-06-11 15:07:48,78.6,8.5,132.8,77.9,79.8,10.4,0.504
2026-06-11 15:07:53,78.3,7.7,132.8,77.7,77.3,10.4,0.574
2026-06-11 15:07:58,79.0,19.1,133.2,77.9,72.2,10.5,0.645
2026-06-11 15:08:03,82.7,21.7,135.1,79.0,77.7,11.2,0.61
2026-06-11 15:08:08,85.0,12.7,136.4,79.7,84.1,11.6,0.56
2026-06-11 15:08:13,85.0,10.6,136.4,79.7,82.4,11.6,0.528
2026-06-11 15:08:19,84.3,18.2,136.1,79.4,74.3,11.5,0.575
2026-06-11 15:08:24,85.8,6.0,137.0,79.8,72.4,11.8,0.561
2026-06-11 15:08:29,84.4,12.0,136.3,79.4,80.2,11.5,0.507
