timestamp,heart_rate_bpm,breathing_rate_bpm,sbp_mmhg,dbp_mmhg,hrv_rmssd_ms,cardiac_load_rpp,sqi
2026-06-01 10:31:41,86.9,,136.6,80.6,,11.9,0.312
2026-06-01 10:31:46,82.0,,134.5,78.9,,11.0,0.419
2026-06-01 10:31:51,81.9,,134.9,78.7,,11.0,0.48
2026-06-01 10:31:56,83.2,10.7,135.9,78.9,67.2,11.3,0.552
2026-06-01 10:32:01,84.4,10.6,136.8,79.1,68.0,11.5,0.629
2026-06-01 10:32:07,84.7,12.6,136.7,79.3,71.6,11.6,0.654
2026-06-01 10:32:12,84.8,11.3,136.7,79.4,68.3,11.6,0.58
2026-06-01 10:32:17,84.8,13.1,136.3,79.6,74.2,11.6,0.542
2026-06-01 10:32:22,85.5,,136.7,79.8,,11.7,0.48
2026-06-01 10:32:27,85.8,,136.9,79.8,,11.7,0.452
2026-06-01 10:32:32,87.3,,138.0,80.2,,12.0,0.398
2026-06-01 10:32:37,71.3,,129.8,75.3,,9.3,0.389
2026-06-01 10:32:43,84.2,,136.6,79.1,,11.5,0.403
2026-06-01 10:32:48,88.9,,139.2,80.5,,12.4,0.451
2026-06-01 10:32:53,86.0,8.9,137.7,79.5,71.8,11.8,0.569
